goods Report

id	name	priority	
1	Good 1	2	
2	Good 2	3	
3	Good 3	4	
4	Good 4	5	
5	Good 5	6	
6	Good 6	7	
7	Good 7	8	
8	Good 8	9	
9	Good 9	10	
10	Good 10	1	
11	Good 11	2	
12	Good 12	3	
13	Good 13	4	
14	Good 14	5	
15	Good 15	6	
16	Good 16	7	
17	Good 17	8	
18	Good 18	9	
19	Good 19	10	
20	Good 20	1	
21	Good 21	2	
22	Good 22	3	
23	Good 23	4	
24	Good 24	5	
25	Good 25	6	
26	Good 26	7	
27	Good 27	8	
28	Good 28	9	
29	Good 29	10	
30	Good 30	1	
31	Good 31	2	
32	Good 32	3	
33	Good 33	4	
34	Good 34	5	
35	Good 35	6	
36	Good 36	7	
37	Good 37	8	
38	Good 38	9	
39	Good 39	10	
40	Good 40	1	
41	Good 41	2	
42	Good 42	3	
43	Good 43	4	
44	Good 44	5	
45	Good 45	6	
46	Good 46	7	
47	Good 47	8	
48	Good 48	9	
49	Good 49	10	
50	Good 50	1	
51	Good 51	2	
52	Good 52	3	
53	Good 53	4	
54	Good 54	5	
55	Good 55	6	
56	Good 56	7	
57	Good 57	8	
58	Good 58	9	
59	Good 59	10	
60	Good 60	1	
61	Good 61	2	
62	Good 62	3	
63	Good 63	4	
64	Good 64	5	
65	Good 65	6	
66	Good 66	7	
67	Good 67	8	
68	Good 68	9	
69	Good 69	10	
70	Good 70	1	
71	Good 71	2	
72	Good 72	3	
73	Good 73	4	
74	Good 74	5	
75	Good 75	6	
76	Good 76	7	
77	Good 77	8	
78	Good 78	9	
79	Good 79	10	
80	Good 80	1	
81	Good 81	2	
82	Good 82	3	
83	Good 83	4	
84	Good 84	5	
85	Good 85	6	
86	Good 86	7	
87	Good 87	8	
88	Good 88	9	
89	Good 89	10	
90	Good 90	1	
91	Good 91	2	
92	Good 92	3	
93	Good 93	4	
94	Good 94	5	
95	Good 95	6	
96	Good 96	7	
97	Good 97	8	
98	Good 98	9	
99	Good 99	10	
100	Good 100	1	
