sales Report

id	good_id	good_count	create_date	
1	2	2	2024-12-09	
2	3	3	2024-12-08	
3	4	4	2024-12-07	
4	5	5	2024-12-06	
5	6	6	2024-12-05	
6	7	7	2024-12-04	
7	8	8	2024-12-03	
8	9	9	2024-12-02	
9	10	10	2024-12-01	
10	11	11	2024-11-30	
11	12	12	2024-11-29	
12	13	13	2024-11-28	
13	14	14	2024-11-27	
15	16	16	2024-11-25	
16	17	17	2024-11-24	
17	18	18	2024-11-23	
18	19	19	2024-11-22	
19	20	20	2024-11-21	
20	21	21	2024-11-20	
21	22	22	2024-11-19	
22	23	23	2024-11-18	
23	24	24	2024-11-17	
24	25	25	2024-11-16	
25	26	26	2024-11-15	
26	27	27	2024-11-14	
27	28	28	2024-11-13	
28	29	29	2024-11-12	
29	30	30	2024-11-11	
30	31	31	2024-11-10	
31	32	32	2024-11-09	
32	33	33	2024-11-08	
33	34	34	2024-11-07	
34	35	35	2024-11-06	
35	36	36	2024-11-05	
36	37	37	2024-11-04	
37	38	38	2024-11-03	
38	39	39	2024-11-02	
39	40	40	2024-11-01	
40	41	41	2024-10-31	
41	42	42	2024-10-30	
42	43	43	2024-10-29	
43	44	44	2024-10-28	
44	45	45	2024-10-27	
45	46	46	2024-10-26	
46	47	47	2024-10-25	
47	48	48	2024-10-24	
48	49	49	2024-10-23	
49	50	50	2024-10-22	
50	51	1	2024-10-21	
51	52	2	2024-10-20	
52	53	3	2024-10-19	
53	54	4	2024-10-18	
54	55	5	2024-10-17	
55	56	6	2024-10-16	
56	57	7	2024-10-15	
57	58	8	2024-10-14	
58	59	9	2024-10-13	
59	60	10	2024-10-12	
60	61	11	2024-10-11	
61	62	12	2024-10-10	
62	63	13	2024-10-09	
63	64	14	2024-10-08	
64	65	15	2024-10-07	
65	66	16	2024-10-06	
66	67	17	2024-10-05	
67	68	18	2024-10-04	
68	69	19	2024-10-03	
69	70	20	2024-10-02	
70	71	21	2024-10-01	
71	72	22	2024-09-30	
72	73	23	2024-09-29	
73	74	24	2024-09-28	
74	75	25	2024-09-27	
75	76	26	2024-09-26	
76	77	27	2024-09-25	
77	78	28	2024-09-24	
78	79	29	2024-09-23	
79	80	30	2024-09-22	
80	81	31	2024-09-21	
81	82	32	2024-09-20	
82	83	33	2024-09-19	
83	84	34	2024-09-18	
84	85	35	2024-09-17	
85	86	36	2024-09-16	
86	87	37	2024-09-15	
87	88	38	2024-09-14	
88	89	39	2024-09-13	
89	90	40	2024-09-12	
90	91	41	2024-09-11	
91	92	42	2024-09-10	
92	93	43	2024-09-09	
93	94	44	2024-09-08	
94	95	45	2024-09-07	
95	96	46	2024-09-06	
96	97	47	2024-09-05	
97	98	48	2024-09-04	
98	99	49	2024-09-03	
99	100	50	2024-09-02	
100	1	1	2024-09-01	
