warehouse1 Report

id	good_id	good_count	
1	2	11	
2	3	12	
3	4	13	
4	5	14	
5	6	15	
6	7	16	
7	8	17	
8	9	18	
9	10	19	
10	11	20	
11	12	21	
12	13	22	
13	14	23	
14	15	24	
15	16	25	
16	17	26	
17	18	27	
18	19	28	
19	20	29	
20	21	10	
21	22	11	
22	23	12	
23	24	13	
24	25	14	
25	26	15	
26	27	16	
27	28	17	
28	29	18	
29	30	19	
30	31	20	
31	32	21	
32	33	22	
33	34	23	
34	35	24	
35	36	25	
36	37	26	
37	38	27	
38	39	28	
39	40	29	
40	41	10	
41	42	11	
42	43	12	
43	44	13	
44	45	14	
45	46	15	
46	47	16	
47	48	17	
48	49	18	
49	50	19	
50	51	20	
